abacus	n．算盘
impunity	n.免除惩罚
impure	a.不纯洁或不干净的
impurity	n.杂质
imputation	n．归咎，归罪
impute	v.归于, (尤指不公正地) 归咎于
impute to	v.转嫁给
in full bloom	p.正在开花
in kind	p.性质上
in sb's favor	p.对某人有利
in-house	a.起源于机构内部的;机构内部的
inactive	a. 不活动的,停止的,怠惰的
inadequate	a.不充足的；不够条件的
inadvertence	n.漫不经心
inadvertent	a.不经心的,疏忽的;非故意的
inadvertently	adv.不小心地，非故意地，无意地
inalienable	a.不可剥夺的，不能让与的
inamorata	n.情人
inane	a.无意义的；空洞的
inanimate	a.无生命的
inanition	n．（因无食物和水而）身体虚弱，死气沉沉
inanity	n．无意义，无聊
inappreciable	a.微不足道的
inapt	a. 不适当的,不合宜的,不相配的
inattention	n. 不注意,粗心,疏忽
inaugural	a.就职的，开幕的
inaugurate	v.举行就职典礼；开创
inborn	a.天生的，天赋的
inbound	adj.归途的，返家的
incandescence	n.白炽，炽热发光
incandescent	a.白热的,热烈的
incantation	n.咒语
incapacitate	v.使丧失能力
incapacity	n．缺乏能力
incarcerate	v.使下狱，监禁
incarnate	a.具有肉体的；化身的
incarnation	n．具体化，化身
incendiary	a.放火的，纵火的
incense	n.香，香味；v.激怒
incentive	n.刺激，鼓励；刺激因素
inception	n.开端，开始；取得学位
incertitude	n．疑惑，不确定
incessant	a.无间断的，连续的
inch	v.慢慢前进，慢慢移动
inchoate	a.刚开始的，未发展的
incidence	n.事情发生；发生率
incidental	a.伴随发生的
incidentally	ad.附带提及地；顺便地
incinerate	v.焚化
incineration	n.焚化,毁弃
incinerator	n. 焚烧装置,焚烧炉,焚尸炉
incipience	n．初期
incipient	a.初期的，刚出现的
incise	v.切，切割
incision	n.切口；切割
incisive	a.一针见血的
incisor	n．门牙（
incite	v.激发，刺激
incivility	n．无礼，粗鲁
inclement	a.(天气)严酷的；严厉的
inclination	n．斜坡，爱好
incline	n　斜坡v．倾斜，爱好
inclined	adj倾向于，赞成的
inclusive	a.包含一切的，范围广的
incogitant	a.无思想的，考虑不周的
incognito	adj．n．隐姓埋名的，化名
incoherent	adj．（思想文字）不连贯的
income	n.收入，收益，所得
incommensurate	a.不成比例的，不相称的
incommodious	adj．不方便的，狭小的
incommunicado	adj．被单独监禁的
incommunicative	adj．不爱交际的，沉默寡言的
incompatible	a.不能和谐共存的
incompetent	a.无能力的，不能胜任的
inconceivable	adj．难以想象的，不可能的（
incongruent	a.不一致的
incongruity	n.不协调，不相称
incongruous	adj．不调和的，不相称的
inconsequential	a.不重要的，微不足道的
inconsiderate	adj．不体谅别人的
inconsolable	adj．无所慰籍的，极度沮丧的
inconstancy	n.(指人)反复无常
inconstant	adj．多变的，无常的
incontestable	adj．无可争辩的，明确的
incontinent	adj．无力控制（自己）的，纵欲的
incontrovertible	a.无可辩驳的
incorporate	v.合并，并入
incorporeal	adj．无形体的，非物质的
incorrigibility	n.无可救药，难以修正
incorrigible	a.积习难改的，不可救药的
incorruptible	a.(道德上)不受腐蚀的
increase	v.增加
incredible	a.难以置信的，不能相信的
incredulity	n.怀疑，不相信
increment	n.增值，增加
incriminate	v.连累，牵连，使显得有罪
incrustation	n.污垢，硬壳
incubate	v.孵化；潜伏
incubation	n.孵卵期；潜伏期
incubator	n.孵卵器；早产婴儿保育箱
incubus	n.恶梦；梦魇般的精神压力，负担
inculcate	v.灌输，谆谆教诲
inculcation	n.灌输,谆谆教诲
inculpate	v.连累；控告
incumbency	n职责，义务
incumbent	n.在职者，现任者；a.义不容辞的
incur	v.招致，引起
incurable	adj．无可救药的
incursion	n.侵犯,入侵
indebted	a.感激的，感恩的
indecent	adj.淫猥的
indecipherable	a.无法破译的
indecisive	a.非决定性的，非最终的；迟疑不决的
indefatigable	a.不知疲倦的
indefinite	adj．模糊的，不确定的
indelible	a.擦拭不掉的，不可磨灭的
indemnification	n．赔偿，赔偿金
indemnify	v.赔偿，偿付
indemnity	n.赔偿；(为防损失或伤害的)保证，保险
indent	v.切割成锯齿状
indentation	n．锯齿状，缺口
indented	adj．锯齿状的
indenture	n.契约，合同
indescribable	adj．（美得）无法形容的（
indeterminate	a.不确定的，不明确的
index	n.缩写 索引
indicate	v.显示，指出；象征
indicative	a.暗示的
indicator	n.指示器
indices	n.指数(index的复数)
indict	v.控诉，起诉
indictment	n.起诉
indifferent	a.不感兴趣的，漠不关心的
indigence	n.贫穷
indigenous	a.土产的，本地的
indigent	a.贫穷的，贫困的
indignant	a.愤慨的，愤愤不平的
indignation	n.愤慨
indignity	n.侮辱，轻蔑；侮辱性的言行
indiscernible	adj．看不清的
indiscreet	adj．不谨慎的，无礼的
indiscretion	n．不谨慎的、鲁莽的
indiscriminate	a.不加选择的
indispensability	n.不可缺少
indispensable	adj．不可缺乏的
indisposed	adj．不愿意的，身体不适的
indite	v.赋诗，创作
individual	a.单独的，特有的；n.个人，个体
indivisible	adj．不可分割的，不可分裂的
indocile	adj．不听话的，难顺服的
indoctrinate	v.教导；灌输思想
indolence	n.懒惰
indolent	a.懒惰的
indomethacin	n.消炎痛
indomitable	adj．坚强不屈的
indubitable	a.不容置疑的
induce	v.诱导；引起
inducement	n.引诱,劝诱;
induct	v.使就职；使入伍
induction	n.就职，入伍仪式；归纳
indulge	v.(贬)放纵；满足(不当或不应有的欲望)
indulgent	a.宽容的，放纵的
indurate	v.使坚硬；使习惯于
industrial	a.工业的;产业的
industrious	a.勤劳的，勤勉的
inebriate	v．使醉，n．酒鬼，酒徒
ineffable	a.妙不可言的，难用语言表达的
ineffaceable	adj．抹不掉的，不能消除的
ineffectual	a.无效的，徒劳无益的
inelasticity	n.无弹性，无伸缩性
ineligible	adj．没有资格的
ineluctable	a.不可避免的，难免的
inept	a.无能的；不适当的
ineptitude	n.无能，不称职
inequity	n.不公正，不公平
inert	a.惰性的；行动迟钝的
inertia	n.惰性；懒惰
inestimable	a. 无价的,无法估计的
inevitable	a.不可避免的
inexhaustible	a.用不完的，取之不竭的
inexorable	a.不为所动的，无情的；坚决不变的
inexpedient	adj．不适当的，不明智的
inexpiable	adj．不能补偿的
inexplicable	a.无法解释的
inextricable	a.无法拯救的;无法脱开的,复杂的
infallibility	n．绝对可靠
infallible	adj．绝不会错的，绝对可靠的
infamous	adj．恶名昭彰的，邪恶的
infamy	n．恶名昭彰
infancy	n.婴儿期,幼年期;初期
infant	n.婴儿
infantile	a.(贬)幼稚的，孩子气的(尤指大孩子或成人)
infantry	n.步兵
infatuate	v.冲昏头脑
infatuated	adj．迷恋（人）的
infatuation	n.迷恋
infect	v.传染，感染；影响…的心情，给…示影响
infection	n.传染，感染
infectious	a.传染的;感染性的,易传播的;有损害的,
infelicitous	a.不幸的；不妥当的
infelicity	n.不幸；不恰当
infer	v.推断，推定
inference	n.推论，推断；结论
inferior	a.下级的，低等的，质次的，较差的
infernal	adj．地狱的，可恶的
inferno	n.火海，地狱般的场所
infertile	adj．无法生殖的，不毛的
infest	v.(害虫)大批出没以扰乱
infidel	n．不信教者，异教徒
infidelity	n．不忠实，不贞
infield	n.(棒球,垒球球场的)内场,内野;全体内野手
infiltrate	v.渗透，渗入
infinite	a.无限的，无穷的
infinitesimal	a.极微小的；n.极小量
infinity	n.无限的时间或空间
infirm	a.虚弱的
infirmary	n.医院,医务室(尤指学校等附设的病房或配药处)
infirmity	n．虚弱
inflame	v.使燃烧；激怒(某人)
inflamed	a.发炎的
inflammable	adj．可燃的，易激怒的
inflammation	n.激怒；炽热；炎症
inflammatory	a.使激怒的,煽动性的;(医)发炎的
inflate	v.使充气，使膨胀
inflated	adj．充气的，骄傲的
inflation	n．膨胀，夸大
inflection	n.弯曲;向内弯曲;［音］变音,变调
inflexible	a.不易弯的，僵硬的
inflict	v.使遭受(打击，惩罚等)
infliction	n．（强加于人身的）痛苦，刑罚
influence	n.影响；权势；感应 v.影响，感化，左右
influential	a.有影响的；有权势的
influx	n.(人或物的)注入，涌入
inform	v.通知，告诉；告发
informal	a.非正式的，亲切随便的
informative	a. 情报的,使知道消息的,见闻广博的
informed	a.见多识广的；消息灵通的
informer	n．告发者，告密者
infraction	n.违法
infrared	a.红外线的,红外区的
infringe	v.违反，侵害(法规，协议)
infringement	n．违反，侵害
infuriate	v.使(人)极为愤怒
infuse	v.灌输；鼓励
infusion	n．灌输。激励
ingenious	a.聪明的，有发明天才的
ingenue	n.天真少女
ingenuity	n.巧思，聪敏
ingenuous	a.纯朴的，单纯的，坦率的，天真的
ingest	v.咽下，吞下
ingestion	n.摄取，吸收(食物)；容纳
ingot	n. 锭,铸块
ingrained	a.根深蒂固的，极难除掉的
ingrate	n.忘恩负义的人
ingratiate	v.逢迎，讨好
ingratiating	a.讨好的，谄媚的
ingratitude	n．忘恩负义
ingredient	n.成分
ingress	n．进入
ingénue	n.天真无邪的少女
inhabit	v.栖居于，占据
inhabitant	n.居民；栖息的动物
inhalation	n.(医用)吸入;吸入药剂
inhale	v.吸气
inherent	a.内在的,
inherently	a.内在的
inherit	v.继承
inherited	a.遗传的(病等)
inhibit	v.抑制
inhibited	adj．拘谨的，拘束的
inhibitor	n.抑制剂
inhuman	adj．残忍的
inhumane	a.不近人情的，残忍的
inimical	a.敌意的，不友善的
inimitable	a.无法仿效的，不可比拟的
iniquitous	a.邪恶的，不公正的
iniquity	n.邪恶，不公正
initial	a.开始的，最初的；n.(姓名的)首字母
initiate	v.发起，创始；接纳或介绍某人加入某团体等
initiative	n.主动(权)，主动性
inject	v.注射
injection	n.注射；注射剂
injunction	n.命令，强制令
injurious	a.有害的
inkling	n.暗示，迹象；略知，模糊概念
inland	a.内地的，内陆的，国内的 ad.在内地
inmate	n.居民，同住者
innards	n. 内脏
innate	a.生来的，天赋的
innermost	a.最内部的
innocence	n.无辜，清白
innocent	a.清白的，无罪的；幼稚的；没有恶意的
innocuous	a.(行为，言论等)无害的
innovation	n.创新，改革
innovative	a.革新的
innovator	n.革新者;创新者
innuendo	n.含沙射影，暗讽
innumerable	a.无数的，数不清的
innundate	v.使应接不暇
inoculate	v.预防注射，打预防针
inoculation	n．接种，灌输
inopportune	a.不合时宜的
inordinate	a.过度的，过分的
inpatient	n.住院病人
input	n.［经］投入;输入
inquietude	n．焦虑，不安
inquire	v.打听；调查；询问
inquiry	n.询问
inquisitive	a.过分好问的；好奇的
inquisitorial	a.审问官似的;爱打听别人事情的
inroad	n.突袭；消耗
insane	adj．疯狂的
insanity	n．疯狂，愚昧
insatiable	a.不能满足的，贪心的
inscribe	v.在某物上写，题(词，字)
inscription	n．铭刻，题献
inscrutable	a.高深莫测的，不可理解的，神秘的
insect	n.昆虫;虫
insecticide	n.杀虫剂
insensate	a.无感觉的；蠢笨的
insentient	a.无知觉的，无生命的
insert	v.插入
insertion	n．插入，插入物
inshore	a. 近海岸的,向陆的
insider	n.局内人，圈内人
insidious	a.隐藏诡计的，暗中为害的
insight	n.洞察力,洞悉,见识;［心］顿悟
insignia	n.徽章，袖章
insincerity	n.伪善，不真诚
insinuate	v.暗指，暗示
insipid	a.乏味的，枯燥的
insipidity	n.枯燥无味
insist	v.坚持;坚决认为
insistence	n．坚持，强求
insofar as	conj.到…的程度
insolate	v．使曝晒
insolence	n.傲慢，无礼
insolent	a.粗野的，无礼的
insoluble	a.不溶解的；不能解决的
insolvency	n.无力偿还；破产
insolvent	adj．无钱还债的
insomnia	n.失眠症
insouciance	n．漠不关心
insouciant	a.漫不经心的，漠不关心的
inspect	v.检查;审视
inspection	n.检查，细看
inspiration	n.启示，灵感
inspire	v.使生灵感；鼓舞
inspired	a.有创见的，有灵感的
inspiring	adj. 鼓舞人心的
install	v.安装，装置；使就职
installation	n.就职,安装
installment	n．分期付款，安装
instalment	n.分期付款；(连载的)一部分，一期
instantaneous	a.立即的，瞬间发生的
instate	v.任命，安置
instigate	v.发起，煽动
instigation	n．煽动，刺激
instil	v.逐渐灌输
instill	v.滴注；逐渐灌输
instinct	n.天性，本能，直觉
instinctive	a.本能的
institute	v.制定，创立(社团，规章)；n.学院，协会
institution	n.公共机构，协会；制度
institutionalize	v.使制度化
institutionalized	a.制度化的，有组织的
instruct	v.下命令；指示
instruction	n.命令，指示；(用法)说明书；教育
instructive	a.传授知识的，启蒙的
instrument	n.仪器，器械，工具；乐器
instrumental	a.有帮助的，有作用的
instrumentalist	n.乐器演奏者
insubordinate	a.不服从的，反抗的
insubstantial	a.非实体的；薄弱的，不坚实的
insufferable	adj．无法忍受的
insufficiency	n．缺乏，不足之处
insufficient	a.不足的
insular	a.岛屿的；心胸狭窄的
insularity	n.岛国状态，岛屿生活状况，与外界隔绝的生活状况；(思想, 观点等的)偏狭
insulate	v.使绝缘；使隔离
insulator	n.绝缘体;绝热体
insulin	n.胰岛素
insult	v.&n.侮辱，辱骂
insuperable	adj．难以克服的
insurance	n.保险，保险费；保证
insure	v.给…保险；保证
insurgent	a.叛乱的，起事的；n.叛乱分子
insurrection	n.造反，叛乱
intact	a.完整无损的，未动过的
intaglio	n.凹雕艺术
intake	n.吸入,收纳;纳入(数量)
intangibility	n.无形，不可接触
intangible	a.无形的，不可触摸的
integer	n.整数
integral	a.构成整体所必需的；完整的
integrate	v.使成整体
integrated	adj．整合的,完整的
integrating	v.融合
integrity	n.正直，诚实；完整
integument	n．（水果等)外壳,包在外面的皮．
intellect	n.智力，思维能力
intellectual	a.智力的，理智的；n.知识分子
intelligence	n.聪颖
intelligent	a.聪颖的
intelligentsia	n.知识分子
intelligible	a.可(易)了解的，清晰的
intemperate	adj．无节制的,放纵的
intend	v.想要，打算，计划
intense	a.强烈的,紧张的;热切的,认真的
intensify	v.加剧
intensive	a.集中的，强化的，精细的，深入的
intent	a.专心的，渴望的；n.目的，意向
intention	n.意图;意旨
intentional	a.存心的，故意的
inter	v.埋葬
interact	vi.相互作用，互相影响
interaction	n.相互作用(影响)，合作，配合
intercede	v.说好话，代为求情
intercept	v.中途拦截，截取
intercession	n.求情;调解;斡旋
intercessor	n.仲裁者，调解人
interchange	n.交换，交流
interchangeable	a.可互换的
intercontinental	a. 大陆间的,洲际的
interdependency	n.相互依赖
interdependent	a. 相互依赖的,互助的
interdict	v.禁止；切断(补给线)
interdisciplinary	a.学科间的
interest	rate
interest rate	n.利(息)率
interfere	v.妨碍
interference	n.干涉，妨碍
interferometer	n.(物)干涉仪,干扰计
intergalactic	a.银河间的
interim	n.中间时期，过渡时期；a.暂时的
interior	n.内角
interject	v.突然插入
interjection	n.插入语；感叹词
interlace	v．编织,交错
interlard	v.使混杂，混入
interlock	v.连锁，连串
interlocking	a.连锁的
interlocutor	n．对话者,谈话者
interlope	v.干涉他人之事，闯入
interloper	n.闯入者;干涉他人事务者
interlude	n.(活动间的)暂时休息
intermediary	n.仲裁者，调解人；中间物；a.中间的，媒介的
intermediate	a.中间的，中级的
interminable	a.(贬)无尽头的，持续过久的
intermingle	v.混合，掺杂
intermission	n.暂停，间歇
intermittent	a.断断续续的，间歇的
intern	v.拘禁，软禁；n.实习生
internal	a.内部的，国内的，内服的
internecine	a.两败俱伤的
internment	n．拘禁
interplanetary	a.行星间的；太阳系内的
interplay	v./n.相互影响
interpolate	v.插入(言语，文字)；篡改
interpolation	n.插入,窜改;［数］内推法
interpose	v.置于…之间；使介入，插手干涉
interposition	n．插入,干涉
interpret	v.口译；解释为 vi.解释；口译
interpretation	n.解释，阐明
interpreter	n.译员，口译人员
interregnum	n.无王时期
interregum	n.空位期，过渡期
interrelate	a.相互关联的
interrelated	v.相互关联;相互影响
interroagte	v.审问,审讯
interrogate	v.审问，审讯
interrogative	a.疑问的
interrupt	v.暂时中止；打断，打扰
intersect	v.横截，横断；(线条)相交
intersection	n.横断,十字路口
intersperse	v.散布；点缀
interstellar	a.星际的
interstice	n．细裂缝,空隙
intertwine	v.纠缠，缠，绕
interval	n.间隔(时间)；幕间休息
intervene	v.干涉，介入
intervention	n．干涉
interweave	v．交织，编结
intestate	adj．未留遗嘱的
intestinal	a.肠的
intestine	n.肠
intimacy	n．亲密，亲密的言行
intimate	a.亲密的；n.密友；v.暗示
intimidate	v.恐吓，胁迫
intimidation	n．恐吓
intolerant	adj不容异已的
intonation	n.语调
intoxicant	adj．醉人的
intoxicate	v.(使)沉醉，(使)欣喜若狂；(使)喝醉
intracellular	a.细胞内部的
intractable	a.倔强的；难管的
intransigence	n．不妥协，不让步
intransigent	a.不妥协的
intrepid	a.无畏的，刚毅的
intrepidity	n．无畏
intricacy	n.错综，复杂，纷乱
intricate	a.复杂难懂的
intrigue	v.密谋；引起…极大兴趣
intriguing	a.引起极大兴趣的
intrinsic	a.固有的,内在的
intrinsically	ad.内在地
introspection	n．内省，反省
introspective	a.自省的，好反省的
introvert	v．内向的人
intrude	v.把(思想等)强加于；闯入
intrusion	n．私闯，干扰
intuition	n.直觉；由直觉获知的知识
intuitive	a.直觉的
intumescence	n．肿大，肿胀
Inuit	n.因纽特人
inundate	v.淹没；泛滥
inundation	n．淹没（
inure	v.使习惯
inured	a.习惯的
invade	v.侵犯，侵入
invalid	adj．无效力的
invalidate	v.使无效力,证明无效
invaluable	a.无价的，非常宝贵的，极为贵重的
invariable	a.不变的
invariably	ad.不变地，总是
invective	n.猛烈抨击，痛骂
inveigh	v.痛骂，抨击
inveigle	v.诱骗，诱使
invent	v.发明;创造
inventor	n.发明家;发明者
inventory	n.详细目录；存货清单
inverse	a.相反的；倒转的
invert	v.上下倒置
invertebrate	adj./n.无脊椎的(动物)
invest	v.投资，投入 vi.(in)投资
investigate	v.调查
investiture	n．任职仪式，授权仪式
inveterate	a.积习已深的
invidious	a.惹人反感的，导致伤害和仇恨的，招人嫉妒的
invigilate	v．监考．
invigorate	v.鼓舞，激励，使精力充沛，使充满活力
invigorating	a.使人有精神的，使人健壮的
invincible	adj．不可征服的，难以制服的
inviolable	a.不可侵犯的；不可亵渎的，神圣的
inviolate	adj．未受侵犯的，纯洁的
invisible	a.看不见的，无形的
inviting	adj．诱人的，引人入胜的．
invocation	n．祈祷
invoice	n．v．发票，开发票
invoke	v.祈求，恳求；(法律的)实施生效；援引，援用
involuntary	a.无意的
involve	v.使卷入，使参与；牵涉；包含，包括
involved	adj．复杂的，有密切关系的
invulnerable	a.无法伤害的
iodine	n.碘；碘酒
ion	n.［物］离子
iota	n.极小量，极少
irascible	a.易发怒的
irate	a.发怒的
ire	n.愤怒；v.激怒
irenic	a.和平主义的，和平的
iridescence	n.彩虹色
iridescent	a.因位置变动而变光的,闪彩光的
iridium	n.［化］铱
iris	n．虹膜，彩虹
irk	v.使苦恼的，厌烦
irksome	a.令人苦恼的，讨厌的
ironclad	a.装铁甲的；坚固的
ironic	a.讽刺的，挖苦的；(讽刺意味)出乎意料的
ironically	ad.挖苦地,出乎意料地
irony	n.反话；(有讽刺意味的)出人意料的事情或情况
irradiate	v．使明亮，生辉
irradicable	a.不能根除的
irrational	n.无理数
irreconcilable	a.不能协调的，矛盾的
irredeemable	a.无法挽回的
irreducible	a.[数]不能约的
irrelevant	a.不相关的
irremediable	a.无法治愈的，无法纠正的，无法挽回的
irreparable	adj．无法修复的，不能挽回的
irrepressible	a.无法约束或阻止的
irreproachable	adj．不可指责的，无过失的
irresistible	adj．无法抗拒的，无法抵抗的
irrespective	a.不考虑的，不顾的
irresponsible	a.不负责任的
irreverent	adj．不尊敬的
irrevocable	a.无法取消的
irrigate	v.灌溉；冲洗伤口
irrigation	n.灌溉；冲洗法
irritable	a.易怒的；易受刺激的
irritant	n.刺激物
irritate	v.激怒；刺激
irritation	n.愤怒，急躁，刺激
islamic	a.伊斯兰教的
island	n.岛屿
isle	n.岛
islet	n.小岛
isolate	v.孤立；将…从其种群中隔离
isolation	n.隔离,
isosceles  triangle	n.等腰三角形
isotope	n.同位素
issue	v.出来，流出；发给，分发；n.(书刊的)期
isthmus	n.地峡
item	n.条款，项目；(新闻等的)一则
itemize	v. 分条缕述,详细列举
iterate	v．重做，反复重申
itinerant	a.巡回的
itinerary	n.行程表；旅行路线
ivory	n.象牙，长牙
jab	v.戳；刺
jabber	v.快而不清楚地说
jacket	n.(书籍的)护封,公文套,唱片套
jade	n.疲惫的老马；玉，翡翠
jaded	a.(因厌倦而)疲惫的；(胶卷)暴光过分的
jagged	a.锯齿状的，不整齐的
jaguar	n．美洲虎
jail	n.监狱，看守所
jam	n.果酱；堵塞 v.压紧；突然用力推
jamb	n.门窗的侧柱
jamboree	n．快乐，喧闹的集会
janitor	n．管理员，管门人
jape	n.玩笑
jar	v.冲突，抵触；(猛撞)震动；发刺耳声
jargon	n.暗语；行话
jarring	a.声音刺耳的
jasper	n.［矿］碧玉;墨绿色
jaundice	n.(因嫉妒、猜忌等导致的)偏见；(病)黄疸
jaundiced	a.有偏见的
jaunt	n./v.短程旅游
jaunty	a.愉快的，满足的
jawbone	n.颚骨,牙床骨
jazz	n.爵士乐；喧闹
jazzy	adj．吸引人的，花哨的
jealous	a. 妒忌的；猜疑的
jealousy	n.猜忌，嫉妒
jeer	v.嘲笑
jejune	a.（文）空洞的；不成熟的
jelly	n.果冻
jellyfish	n.水母
jeopardise	v. 使受危险, 危及
jeopardize	v.危及，危害
jeopardy	n.危险
jeremiad	n．长篇声讨文字，哀叹
jerk	n./v.突然猛拉
jest	v./n.说笑，玩笑
jesting	adj．滑稽的，好笑的
jesuitical	adj.阴险的，虚伪的
jetsam	n.投弃货物
jettison	v.(船)向外抛弃东西；n.抛弃的货物
jibe	v.与…一致，符合；嘲笑
jigsaw	n.拼图
jigsaw puzzle	n.拼图游戏
jilt	v.抛弃，遗弃(情人或恋人)
jingoism	n.沙文主义；侵略主义
jinx	n.不祥的人(或物)
jitter	vi.紧张不安
jitters	n.紧张不安
jockey	n.骑师；v.用计谋获取
jocose	adj．开玩笑的，引人发笑的
jocular	a.滑稽的，诙谐的；嬉戏的
jocund	a.快乐的，高兴的
jog	v.慢而平静地前进，慢跑
jollity	n．快乐，欢乐
jolly	adj．欢乐的，快乐的
jolt	v.颠簸着移动；n.震动，摇晃
josh	v.& vi.开玩笑
jostle	v.推挤
jot	v.匆匆记下，摘要记录
jounce	v.& n.颠簸
journal	n.日报，期刊，杂志；日记，日志；分类帐
journalist	n.记者，新闻工作者
joust	v．马上长枪比武，竞争
jovial	a.愉快的
joyous	a.快乐的
jubilant	adj．喜悦的，欢呼的
jubilation	n.欢快，欢庆
judgement	n.判决，审判；判断力；判断，看法
judgment	n.评价
judicial	a.法庭的，法官的
judiciary	n.司法系统
judicious	a.有判断力的；明智的
judiciousness	n.明智
juggernaut	n.（贬）摧毁一切的强大力量
juggle	v.用…玩杂耍
jumble	v.混杂，掺杂；n.混杂，掺杂
jumbo	n.体大而笨拙的人;庞然大物,显赫的人
jumpy	a.坐立不安的
junction	n.交叉路口；连接
juncture	n.接合
jungle	n.丛林，密林
junior	a.年少的；职位较低的 n.晚辈；等级较低者
junk	n.废物，废旧货
junket	n.公款旅游
Jupiter	n.木星
jurisdiction	n.司法权，审判权，裁判权
jurisprudence	n．法律学，法学
jury	n.陪审团
justifiable	a.有理由的，无可非议的
justification	n.正当理由，好的（正义的）原因；辨护
justify	v.证明…是正当的
jut	v.突出
juvenile	a.少年的，似少年的
juxtapose	v.并排，并置
juxtaposition	n．并排
kaleidoscope	n.万花筒；产生有趣的对称效果
kaleidoscopic	adj．千变万化的
kangaroo	n.袋鼠
karate	n．空手道
kayak	n．爱斯基摩独木舟，小船
keen	a.渴望的，热心的；理解力强的，敏锐的
keep	v.保留；保持；遵守；饲养；管理
kelp	n.海草,巨藻;海草灰(从中可提取碘)
ken	n.视野范围；知识范围
kennel	n.狗舍，狗窝
kerfuffle	n.混乱，动乱
kernel	n.果仁；核心
kerosene	n.煤油
ketchup	n. 蕃茄酱等
keynesian	a.(英国资产阶级经济学家)凯恩斯(keynes)的;凯恩斯主义的
kidnap	v.诱拐，绑架，勒赎
kidney	n.肾
killjoy	n.令人扫兴的人
kin	n.亲属
kindle	v.着火，点燃
kindred	a.同类的，同源的
kinetic	a.运动的，运动引起的
kingdom	n.王国
kinship	n.(家属或亲属)关系,类似家属的密切关系
kiosk	n．售货亭，电话亭
kismet	n.命运，天命
kit	n.用具包，成套工具；随身携带物
kitsch	n.迎合低级趣味的拙劣作品
kitten	n．小猫
kleptomania	n．盗窃癖
knack	n.特殊能力；窍门
knackered	adj.疲乏的，疲倦的
knave	n.流氓，恶棍
knead	v.揉制，捏制（面团、湿黏土等）
kneel	v．跪下
knell	n.丧钟声
knit	v.编织；密接，结合
knob	n.门把，拉手；旋纽
knocker	n．敲击的人，门环
knoll	n．小圆丘
knot	n.结；节，疤 v.打结，捆扎
knotty	a.(木材)有节疤的；困难的
know-how	n.专业技能，知识
knowledgeable	adj．有丰富知识的，博学的
knuckle	n.指节, 关节
kudos	n.荣誉
label	n.标签 v.在…上贴标签；把…称为
labile	a.（化）不稳定的
labored	a.吃力的；(文体等)不自然的
laborious	adj．费力的，吃力的
labour	v．困难地做，太冗长地解释
laboured	adj．吃力的，（文体）不自然的
labyrinth	n.迷宫
lace	n.鞋带，系带；网眼花边，透孔织品
lacerate	v.撕裂；深深伤害（感情）
laceration	n．撕裂，裂口
lacework	n．网状物
lachrymose	a.好流泪的；引人落泪的
lack	n.&v.缺乏，缺少，短缺
lackadaisical	a.无精打采的；无兴趣的
lackey	n．卑躬屈膝者，走卒
lackluster	a.无光泽的；呆滞的
lacklustre	adj．无光泽的，呆滞的
laconic	a.简洁的
lactic	a.乳汁的
laden	a. 充满的,负载的,苦恼的
ladle	n.长柄勺
lag	v.落后，滞留
laggard	adj．缓慢的，落后的，n．落后者
lagoon	n.泻湖
lair	n.野兽的巢穴；躲藏处
laissez-faire caplitalism	n.自由资本主义
laity	n.(有别于教士的)俗信徒，俗人阶级；外行
lamb	n.小羊，羔羊；羔羊肉
lambaste	v.痛打；痛骂
lame	adj.跛的，瘸的
lament	v./n.悲伤；哀悼
lamentable	adj．令人惋惜的，悔恨的
laminate	v．切成薄板（片）
lampoon	n.讽刺文章；v.讽刺
lampooner	n．讽刺作家
lance	n.长矛；鱼叉
lancet	n.手术刀
lancinate	v．刺、戳
land	n.土地；田地
landfill	n.垃圾堆
landlocked	a.被陆地包围的
landmark	n.陆标，地标；里程碑
landscape	n.风景，景色；风景画，风景照片
landslide	n.山崩；压倒性胜利
lane	n.小路，小巷；车道，跑道
languid	a.没精打采的，倦怠的
languish	v.变得衰弱；失去活力
languor	n.身心疲惫
lank	a.（人）瘦长的；（毛发）平直而软的
lanky	a.瘦高且笨拙的
lap	v.舔着喝水；(水)轻拍，发出轻拍声；(用磨具)抛光、磨光
lapidary	n．宝石工，宝石专家
lapse	n.失误，小错；(时间等)流逝
larceny	n盗窃
larch	n．落叶松
lard	n．猪油
larder	n.食品室
largess	n.赠送，赏赐；赠品；贺礼
largesse	n.慷慨援助；施舍
lariat	n.套索
lark	n./v.玩乐，嬉耍
larva	n.(昆虫的)幼虫
larvae	n.larva的复数形式:幼虫,
laryngitis	n．喉炎
larynx	n．喉
lascivious	adj．淫乱的，好色的
laser	n.激光;激光射器
lash	n.鞭子；v.鞭打；捆住
lassitude	n.疲倦；没精打采
lasso	n.套索(捕捉牛、马用)
last	a.未了的：最后的
lasting	a.持久的，永久的
latch	n.闩;碰锁,弹簧锁,v.
lately	adv.近来；最近
latency	n.潜伏期
latent	a.潜伏的
lateral	a.侧面的；从侧面的；向侧面的
lathe	n.车床
latitude	n.言行自由；纬度
latter	a.后面的，末了的；后一半的 n.后者
lattice	n.(做篱笆或爬藤架等的)格子架
laud	v.称赞
laudable	a.值得称赞的
laudatory	a.赞扬的,表扬的
launch	v.使(船)下水；发射(导弹) n.发射
laundry	n.洗衣店；洗好的衣服，洗涤
laurel	n.月桂树,桂冠
laurels	n．荣誉
lava	n.熔岩
